2025-10-08 19:48:54 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "[ESCANEO AUTOMÁTICO] Dispositivo NO autorizado - IP: 192.168.0.2, MAC: Desconocida", "ip": "192.168.0.2", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:48:54.006736"}
2025-10-08 19:49:00 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.1, MAC: Desconocida", "ip": "192.168.0.1", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:49:00.131954"}
2025-10-08 19:49:00 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.10, MAC: Desconocida", "ip": "192.168.0.10", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:49:00.553085"}
2025-10-08 19:49:00 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.12, MAC: Desconocida", "ip": "192.168.0.12", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:49:00.985652"}
2025-10-08 19:49:01 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.13, MAC: Desconocida", "ip": "192.168.0.13", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:49:01.385336"}
2025-10-08 19:49:01 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.2, MAC: Desconocida", "ip": "192.168.0.2", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:49:01.784441"}
2025-10-08 19:49:02 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.6, MAC: Desconocida", "ip": "192.168.0.6", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:49:02.195182"}
2025-10-08 20:01:55 | guardian.security | WARNING | {"event_type": "login_success", "description": "User admin logged in successfully", "ip": null, "mac": null, "severity": "warning", "timestamp": "2025-10-08T20:01:55.222867"}
2025-10-08 20:02:37 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.1, MAC: Desconocida", "ip": "192.168.0.1", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:02:37.213708"}
2025-10-08 20:02:37 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.10, MAC: Desconocida", "ip": "192.168.0.10", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:02:37.714153"}
2025-10-08 20:02:38 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.12, MAC: Desconocida", "ip": "192.168.0.12", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:02:38.201216"}
2025-10-08 20:02:38 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.13, MAC: Desconocida", "ip": "192.168.0.13", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:02:38.633917"}
2025-10-08 20:02:38 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.2, MAC: Desconocida", "ip": "192.168.0.2", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:02:38.990246"}
2025-10-08 20:02:39 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.6, MAC: Desconocida", "ip": "192.168.0.6", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:02:39.401315"}
2025-10-08 20:02:39 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.8, MAC: Desconocida", "ip": "192.168.0.8", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:02:39.777131"}
2025-10-08 20:03:17 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.1, MAC: Desconocida", "ip": "192.168.0.1", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:03:17.235904"}
2025-10-08 20:03:17 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.10, MAC: Desconocida", "ip": "192.168.0.10", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:03:17.582038"}
2025-10-08 20:03:18 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.13, MAC: Desconocida", "ip": "192.168.0.13", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:03:18.023027"}
2025-10-08 20:03:18 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.2, MAC: Desconocida", "ip": "192.168.0.2", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:03:18.445360"}
2025-10-08 20:03:18 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.6, MAC: Desconocida", "ip": "192.168.0.6", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:03:18.910200"}
2025-10-08 20:14:36 | guardian.security | WARNING | {"event_type": "login_success", "description": "User admin logged in successfully", "ip": null, "mac": null, "severity": "warning", "timestamp": "2025-10-08T20:14:36.005276"}
2025-10-08 20:15:16 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.1, MAC: Desconocida", "ip": "192.168.0.1", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:15:16.009892"}
2025-10-08 20:15:16 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.10, MAC: Desconocida", "ip": "192.168.0.10", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:15:16.376929"}
2025-10-08 20:15:16 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.12, MAC: Desconocida", "ip": "192.168.0.12", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:15:16.842922"}
2025-10-08 20:15:18 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.13, MAC: Desconocida", "ip": "192.168.0.13", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:15:18.140301"}
2025-10-08 20:15:19 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.2, MAC: Desconocida", "ip": "192.168.0.2", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:15:19.794075"}
2025-10-08 20:15:20 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.6, MAC: Desconocida", "ip": "192.168.0.6", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T20:15:20.602896"}
2025-10-08 20:21:52 | guardian.security | WARNING | {"event_type": "login_success", "description": "User admin logged in successfully", "ip": null, "mac": null, "severity": "warning", "timestamp": "2025-10-08T20:21:52.791793"}
2025-10-08 21:11:17 | guardian.security | ERROR | {"event_type": "csrf_token_invalid", "description": "Invalid CSRF token for user: admin", "ip": null, "mac": null, "severity": "high", "timestamp": "2025-10-08T21:11:17.148723"}
2025-10-08 21:26:56 | guardian.security | ERROR | {"event_type": "csrf_token_invalid", "description": "Invalid CSRF token for user: admin", "ip": null, "mac": null, "severity": "high", "timestamp": "2025-10-08T21:26:56.578911"}
